shipment_id,pickup_date,delivery_date,origin_zip,dest_zip,weight_lbs,linehaul_revenue,cost,bill_received_date
NWF26060100037,2026-06-01,2026-06-04,75201,84101,1467,855.36,645.25,2026-06-13
NWF26060100038,2026-06-01,2026-06-03,80202,64105,1493,613.31,524.34,2026-06-05
NWF26060100039,2026-06-01,2026-06-08,46204,97209,1268,1107.79,921.05,2026-06-08
NWF26060100040,2026-06-01,2026-06-04,30303,85004,432,318.33,284.02,2026-06-05
NWF26060100041,2026-06-01,2026-06-03,80202,60607,640,327.35,283.78,2026-06-04
NWF26060100042,2026-06-01,2026-06-03,55401,75201,797,455.58,357.86,2026-06-05
NWF26060100043,2026-06-01,2026-06-03,80202,60607,3666,1817.29,1313.41,2026-06-03
NWF26060100044,2026-06-01,2026-06-09,30303,98108,934,941.47,667.63,2026-06-11
NWF26060100045,2026-06-01,2026-06-08,46204,97209,649,532.41,490.65,2026-06-09
NWF26060100046,2026-06-01,2026-06-04,84101,64105,898,437.8,323.89,2026-06-06
NWF26060100047,2026-06-01,2026-06-04,84101,55401,1599,852.42,761.07,2026-06-06
NWF26060100048,2026-06-01,2026-06-05,64105,98108,1131,835.93,757.07,2026-06-05
NWF26060100049,2026-06-01,2026-06-03,64105,30303,7779,4158.3,2934.97,2026-06-05
NWF26060100050,2026-06-01,2026-06-02,30303,19104,2720,1169.45,1118.58,2026-06-03
NWF26060100051,2026-06-01,2026-06-02,60607,46204,1382,375.73,298.08,2026-06-03
NWF26060100052,2026-06-01,2026-06-03,55401,48226,1374,623.77,637.5,2026-06-04
NWF26060100053,2026-06-01,2026-06-04,75201,37203,3591,1632.47,1379.7,2026-06-06
NWF26060100054,2026-06-01,2026-06-03,46204,38103,604,211.74,165.3,2026-06-11
NWF26060100055,2026-06-01,2026-06-03,80202,64105,3406,1331.55,1467.36,2026-06-03
NWF26060100056,2026-06-01,2026-06-05,55401,75201,1389,724.4,562.54,2026-06-05
NWF26060100057,2026-06-01,2026-06-04,55401,75201,766,406.71,369.68,2026-06-05
NWF26060100058,2026-06-01,2026-06-02,90021,97209,2925,1521.91,1798.16,2026-06-04
NWF26060100059,2026-06-01,2026-06-02,75201,80202,1376,704.12,560.93,2026-06-03
NWF26060100060,2026-06-01,2026-06-05,55401,75201,1035,560.1,481.75,2026-06-05
NWF26060100061,2026-06-01,2026-06-09,19104,90021,912,921.59,900.17,2026-06-10
NWF26060100062,2026-06-01,2026-06-03,37203,75201,1083,458.23,333.56,2026-06-05
NWF26060100063,2026-06-01,2026-06-02,07105,19104,594,138.59,100.13,2026-06-03
NWF26060100064,2026-06-01,2026-06-03,37203,75201,6569,2593.74,2208.53,2026-06-05
NWF26060100065,2026-06-01,2026-06-04,84101,75201,959,572.37,557.45,2026-06-05
NWF26060100066,2026-06-01,2026-06-08,30303,84101,1084,889.95,730.28,2026-06-10
NWF26060100067,2026-06-01,2026-06-05,84101,75201,822,546.08,440.75,2026-06-07
NWF26060100068,2026-06-01,2026-06-02,07105,19104,1303,295.19,207.41,2026-06-04
NWF26060100069,2026-06-01,2026-06-08,64105,98108,1286,969.88,910.65,2026-06-10
NWF26060100070,2026-06-01,2026-06-08,90021,46204,551,436.08,406.6,2026-06-10
NWF26060100071,2026-06-01,2026-06-08,46204,97209,2288,2088.68,1590.16,2026-06-10
NWF26060100072,2026-06-01,2026-06-04,84101,55401,4422,2363.68,1718.88,2026-06-05
NWF26060100073,2026-06-01,2026-06-05,55401,84101,510,279.8,267.13,2026-06-05
NWF26060100074,2026-06-01,2026-06-04,46204,55401,967,359.42,268.15,2026-06-05
NWF26060100075,2026-06-01,2026-06-05,84101,55401,1090,686.44,507.56,2026-06-07
NWF26060100076,2026-06-01,2026-06-08,90021,46204,1535,1389.71,1234.42,2026-06-08
NWF26060100077,2026-06-01,2026-06-04,84101,75201,1263,893.85,707.79,2026-06-06
NWF26060100078,2026-06-01,2026-06-04,77002,85004,3131,1718.13,1269.93,2026-06-05
NWF26060100079,2026-06-01,2026-06-02,75201,37203,637,310.85,249.88,2026-06-03
NWF26060100080,2026-06-01,2026-06-02,60607,46204,5027,1442.17,1388.72,2026-06-02
NWF26060100081,2026-06-01,2026-06-04,55401,75201,12000,6070.62,4926.18,2026-06-05
NWF26060100082,2026-06-01,2026-06-04,80202,60607,467,265.82,189.84,2026-06-06
NWF26060100083,2026-06-01,2026-06-03,64105,30303,3864,2065.22,1915.81,2026-06-05
NWF26060100084,2026-06-01,2026-06-03,80202,64105,2488,864.42,665.76,2026-06-03
NWF26060100085,2026-06-01,2026-06-04,80202,64105,2360,854.26,639.66,2026-06-06
NWF26060100086,2026-06-01,2026-06-04,84101,64105,472,234.77,203.36,2026-06-06
NWF26060100087,2026-06-01,2026-06-04,30303,19104,1478,674.01,483.29,2026-06-05
NWF26060100088,2026-06-01,2026-06-04,84101,75201,1207,717.74,518.65,2026-06-04
NWF26060100089,2026-06-01,2026-06-04,84101,97209,2097,989.38,968.1,2026-06-06
NWF26060100090,2026-06-01,2026-06-03,60607,46204,5603,1655.59,1493.07,2026-06-03
NWF26060200091,2026-06-02,2026-06-04,55401,48226,2955,1431.61,1127.41,2026-06-05
NWF26060200092,2026-06-02,2026-06-04,37203,75201,2279,828.28,599.6,2026-06-04
NWF26060200093,2026-06-02,2026-06-09,64105,98108,1835,1215.39,892.37,2026-06-11
NWF26060200094,2026-06-02,2026-06-05,30303,19104,916,351.94,296.36,2026-06-05
NWF26060200095,2026-06-02,2026-06-05,75201,60607,880,478.07,371.94,2026-06-07
NWF26060200096,2026-06-02,2026-06-05,55401,07105,4337,2486.88,1759.1,2026-06-05
NWF26060200097,2026-06-02,2026-06-03,46204,55401,2093,788.91,553.58,2026-06-05
NWF26060200098,2026-06-02,2026-06-05,30303,48226,366,127.09,115.51,2026-06-06
NWF26060200099,2026-06-02,2026-06-10,98108,07105,737,987.89,848.53,2026-06-10
NWF26060200100,2026-06-02,2026-06-11,30303,98108,2299,2225.15,1970.02,2026-06-12
NWF26060200101,2026-06-02,2026-06-05,84101,97209,2077,1001.21,780.25,2026-06-07
NWF26060200102,2026-06-02,2026-06-05,84101,75201,498,330.18,231.84,2026-06-05
NWF26060200103,2026-06-02,2026-06-03,90021,97209,1008,495.68,406.74,2026-06-10
NWF26060200104,2026-06-02,2026-06-05,64105,30303,1784,909.98,738.15,2026-06-05
NWF26060200105,2026-06-02,2026-06-05,55401,75201,602,308.97,251.27,2026-06-05
NWF26060200106,2026-06-02,2026-06-09,48226,85004,4367,3953.79,3168.25,2026-06-09
NWF26060200107,2026-06-02,2026-06-03,46204,38103,1207,490.7,445.96,2026-06-11
NWF26060200108,2026-06-02,2026-06-04,55401,46204,474,172.04,137.26,2026-06-04
NWF26060200109,2026-06-02,2026-06-08,84101,64105,933,444.1,405.27,2026-06-09
NWF26060200110,2026-06-02,2026-06-04,84101,55401,2674,1672.04,1434.71,2026-06-05
NWF26060200111,2026-06-02,2026-06-09,46204,97209,1719,1352.11,1113.89,2026-06-11
NWF26060200112,2026-06-02,2026-06-09,90021,48226,1420,1618.0,1158.37,2026-06-11
NWF26060200113,2026-06-02,2026-06-09,46204,97209,4968,4283.0,3553.0,2026-06-10
NWF26060200114,2026-06-02,2026-06-08,80202,30303,1580,1025.98,862.22,2026-06-08
NWF26060200115,2026-06-02,2026-06-08,98108,46204,279,242.19,217.52,2026-06-10
NWF26060200116,2026-06-02,2026-06-03,60607,46204,143,125.0,114.61,2026-06-05
NWF26060200117,2026-06-02,2026-06-10,19104,97209,1970,2361.52,2087.2,2026-06-11
NWF26060200118,2026-06-02,2026-06-05,48226,80202,656,420.59,309.6,2026-06-06
NWF26060200119,2026-06-02,2026-06-05,64105,98108,1877,1191.25,1068.3,2026-06-05
NWF26060200120,2026-06-02,2026-06-11,19104,97209,1187,1324.54,994.03,2026-06-11
NWF26060200121,2026-06-02,2026-06-03,64105,30303,536,260.83,210.1,2026-06-03
NWF26060200122,2026-06-02,2026-06-08,84101,55401,522,314.09,305.14,2026-06-08
NWF26060200123,2026-06-02,2026-06-03,55401,46204,357,125.0,116.73,2026-06-04
NWF26060200124,2026-06-02,2026-06-04,55401,75201,862,451.22,437.94,2026-06-04
NWF26060200125,2026-06-02,2026-06-08,46204,97209,428,358.97,345.19,2026-06-08
NWF26060200126,2026-06-02,2026-06-05,07105,55401,2300,1712.91,1269.71,2026-06-06
NWF26060200127,2026-06-02,2026-06-10,90021,19104,3842,4151.09,3340.42,2026-06-11
NWF26060200128,2026-06-02,2026-06-04,64105,30303,1062,581.93,461.99,2026-06-05
NWF26060200129,2026-06-02,2026-06-04,19104,37203,1119,471.36,391.87,2026-06-04
NWF26060200130,2026-06-02,2026-06-08,30303,85004,3878,2942.16,2494.3,2026-06-08
NWF26060200131,2026-06-02,2026-06-11,19104,90021,480,526.05,435.57,2026-06-13
NWF26060200132,2026-06-02,2026-06-03,55401,46204,2143,750.85,817.08,2026-06-04
NWF26060200133,2026-06-02,2026-06-03,46204,55401,2272,860.05,831.63,2026-06-05
NWF26060200134,2026-06-02,2026-06-04,80202,64105,1092,429.98,343.98,2026-06-06
NWF26060200135,2026-06-02,2026-06-10,19104,97209,381,459.6,338.89,2026-06-12
NWF26060200136,2026-06-02,2026-06-04,46204,55401,2863,1158.42,1015.8,2026-06-06
NWF26060200137,2026-06-02,2026-06-03,90021,97209,1289,576.33,710.81,2026-06-04
NWF26060200138,2026-06-02,2026-06-09,90021,30303,1515,1573.28,1185.48,2026-06-11
NWF26060200139,2026-06-02,2026-06-11,98108,07105,619,847.43,769.58,2026-06-12
NWF26060200140,2026-06-02,2026-06-08,55401,07105,1385,837.66,708.16,2026-06-17
NWF26060200141,2026-06-02,2026-06-04,46204,38103,1021,373.15,292.09,2026-06-04
NWF26060200142,2026-06-02,2026-06-08,80202,19104,1131,920.74,735.41,2026-06-16
NWF26060200143,2026-06-02,2026-06-05,46204,77002,1883,1201.83,1069.91,2026-06-07
NWF26060200144,2026-06-02,2026-06-04,84101,75201,1270,782.03,688.69,2026-06-04
NWF26060200145,2026-06-02,2026-06-03,60607,46204,667,189.79,160.99,2026-06-03
NWF26060200146,2026-06-02,2026-06-04,37203,75201,1855,678.08,621.79,2026-06-06
NWF26060200147,2026-06-02,2026-06-08,07105,55401,4305,2741.88,2574.06,2026-06-08
NWF26060300148,2026-06-03,2026-06-10,90021,30303,3094,3088.69,2413.2,2026-06-12
NWF26060300149,2026-06-03,2026-06-04,37203,46204,1952,472.2,360.19,2026-06-04
NWF26060300150,2026-06-03,2026-06-08,55401,84101,559,334.52,291.48,2026-06-09
NWF26060300151,2026-06-03,2026-06-05,75201,80202,2637,1411.15,1313.13,2026-06-07
NWF26060300152,2026-06-03,2026-06-04,46204,19104,1270,555.12,517.44,2026-06-04
NWF26060300153,2026-06-03,2026-06-05,90021,97209,502,265.17,247.35,2026-06-05
NWF26060300154,2026-06-03,2026-06-09,30303,84101,3024,2783.64,2352.99,2026-06-10
NWF26060300155,2026-06-03,2026-06-05,46204,55401,3319,1324.73,1155.22,2026-06-07
NWF26060300156,2026-06-03,2026-06-08,55401,98108,348,257.18,223.61,2026-06-08
NWF26060300157,2026-06-03,2026-06-08,77002,85004,2214,1275.03,1166.34,2026-06-09
NWF26060300158,2026-06-03,2026-06-12,90021,19104,1667,1766.4,1357.6,2026-06-13
NWF26060300159,2026-06-03,2026-06-08,55401,75201,1903,973.98,808.45,2026-06-09
NWF26060300160,2026-06-03,2026-06-10,46204,97209,983,890.38,751.66,2026-06-11
NWF26060300161,2026-06-03,2026-06-08,75201,37203,1291,586.43,565.73,2026-06-08
NWF26060300162,2026-06-03,2026-06-08,37203,75201,843,366.76,304.67,2026-06-08
NWF26060300163,2026-06-03,2026-06-05,80202,60607,1068,526.76,563.82,2026-06-07
NWF26060300164,2026-06-03,2026-06-05,84101,75201,840,535.52,381.65,2026-06-05
NWF26060300165,2026-06-03,2026-06-09,90021,46204,872,755.51,645.18,2026-06-11
NWF26060300166,2026-06-03,2026-06-04,60607,46204,1586,413.07,358.83,2026-06-04
NWF26060300167,2026-06-03,2026-06-05,30303,19104,6245,2616.11,1940.38,2026-06-06
NWF26060300168,2026-06-03,2026-06-04,19104,37203,928,380.32,355.96,2026-06-06
NWF26060300169,2026-06-03,2026-06-08,55401,46204,2107,751.99,603.95,2026-06-18
NWF26060300170,2026-06-03,2026-06-10,19104,90021,2174,2144.78,1895.06,2026-06-18
NWF26060300171,2026-06-03,2026-06-08,64105,30303,427,225.43,203.33,2026-06-08
NWF26060300172,2026-06-03,2026-06-09,77002,85004,611,355.25,267.65,2026-06-09
NWF26060300173,2026-06-03,2026-06-05,55401,48226,619,293.11,243.88,2026-06-07
NWF26060300174,2026-06-03,2026-06-11,98108,19104,772,968.25,820.24,2026-06-12
NWF26060300175,2026-06-03,2026-06-08,80202,30303,1001,671.27,605.39,2026-06-18
NWF26060300176,2026-06-03,2026-06-08,75201,84101,3343,2033.08,1959.11,2026-06-10
NWF26060300177,2026-06-03,2026-06-05,64105,30303,2113,1076.6,1035.08,2026-06-06
NWF26060300178,2026-06-03,2026-06-05,75201,37203,2069,1131.8,1051.61,2026-06-06
NWF26060300179,2026-06-03,2026-06-05,30303,19104,2156,958.71,743.88,2026-06-05
NWF26060300180,2026-06-03,2026-06-08,84101,64105,2162,1006.5,959.65,2026-06-08
NWF26060300181,2026-06-03,2026-06-08,80202,60607,900,485.15,358.28,2026-06-09
NWF26060300182,2026-06-03,2026-06-11,19104,97209,3791,4480.76,4084.9,2026-06-13
NWF26060300183,2026-06-03,2026-06-10,90021,48226,4043,4402.36,3992.2,2026-06-10
NWF26060300184,2026-06-03,2026-06-05,48226,07105,2275,895.61,845.67,2026-06-05
NWF26060300185,2026-06-03,2026-06-04,46204,37203,10055,3174.65,2626.12,2026-06-05
NWF26060300186,2026-06-03,2026-06-12,90021,19104,508,535.01,495.67,2026-06-14
NWF26060300187,2026-06-03,2026-06-09,30303,85004,272,208.87,179.41,2026-06-11
NWF26060300188,2026-06-03,2026-06-10,46204,97209,1432,1274.54,958.12,2026-06-10
NWF26060300189,2026-06-03,2026-06-04,80202,64105,1048,374.89,297.02,2026-06-04
NWF26060300190,2026-06-03,2026-06-08,30303,85004,1087,815.31,676.96,2026-06-10
NWF26060300191,2026-06-03,2026-06-05,90021,97209,2884,1543.97,1239.68,2026-06-06
NWF26060300192,2026-06-03,2026-06-10,30303,98108,3316,3306.16,2822.75,2026-06-12
NWF26060300193,2026-06-03,2026-06-05,77002,85004,4309,2454.89,2259.64,2026-06-11
NWF26060300194,2026-06-03,2026-06-10,90021,46204,579,472.69,443.98,2026-06-12
NWF26060300195,2026-06-03,2026-06-05,60607,46204,444,132.18,109.31,2026-06-07
NWF26060300196,2026-06-03,2026-06-10,90021,48226,1071,1287.21,1043.75,2026-06-12
NWF26060300197,2026-06-03,2026-06-08,46204,19104,987,469.9,336.86,2026-06-08
NWF26060300198,2026-06-03,2026-06-08,07105,55401,842,596.47,539.33,2026-06-09
NWF26060300199,2026-06-03,2026-06-08,55401,75201,3511,1674.38,1624.08,2026-06-14
NWF26060300200,2026-06-03,2026-06-10,46204,97209,1183,1115.96,1042.02,2026-06-11
NWF26060300201,2026-06-03,2026-06-08,84101,75201,1594,1103.28,848.75,2026-06-08
NWF26060300202,2026-06-03,2026-06-09,55401,98108,1982,1489.69,1217.65,2026-06-09
NWF26060300203,2026-06-03,2026-06-05,64105,30303,2200,1051.54,954.12,2026-06-07
NWF26060300204,2026-06-03,2026-06-04,64105,30303,1410,787.6,712.64,2026-06-12
NWF26060300205,2026-06-03,2026-06-10,98108,46204,1188,1148.85,994.52,2026-06-12
NWF26060300206,2026-06-03,2026-06-05,84101,75201,1517,955.51,840.98,2026-06-06
NWF26060300207,2026-06-03,2026-06-04,37203,46204,1169,272.46,231.76,2026-06-05
NWF26060300208,2026-06-03,2026-06-09,46204,97209,564,442.59,360.95,2026-06-09
NWF26060300209,2026-06-03,2026-06-04,30303,48226,847,297.25,245.51,2026-06-06
NWF26060300210,2026-06-03,2026-06-05,77002,85004,521,297.35,211.44,2026-06-07
NWF26060300211,2026-06-03,2026-06-08,84101,75201,856,601.79,472.34,2026-06-08
NWF26060300212,2026-06-03,2026-06-04,37203,75201,1347,544.27,412.16,2026-06-05
NWF26060300213,2026-06-03,2026-06-08,90021,97209,985,470.98,364.18,2026-06-09
NWF26060300214,2026-06-03,2026-06-09,80202,60607,4862,2701.06,2582.25,2026-06-15
NWF26060300215,2026-06-03,2026-06-05,60607,46204,894,238.68,229.55,2026-06-06
NWF26060300216,2026-06-03,2026-06-11,30303,98108,960,1038.44,872.09,2026-06-12
NWF26060300217,2026-06-03,2026-06-05,90021,97209,1323,682.11,565.49,2026-06-05
NWF26060300218,2026-06-03,2026-06-04,07105,19104,1514,388.72,379.89,2026-06-04
NWF26060300219,2026-06-03,2026-06-08,75201,60607,363,195.2,144.89,2026-06-16
NWF26060300220,2026-06-03,2026-06-09,90021,48226,1237,1486.41,1263.46,2026-06-11
NWF26060300221,2026-06-03,2026-06-09,84101,75201,771,503.88,467.73,2026-06-09
NWF26060300222,2026-06-03,2026-06-05,30303,48226,1040,437.6,334.0,2026-06-07
NWF26060300223,2026-06-03,2026-06-05,75201,80202,1731,862.35,694.72,2026-06-07
NWF26060300224,2026-06-03,2026-06-08,75201,85004,1399,824.75,707.99,2026-06-10
NWF26060300225,2026-06-03,2026-06-05,19104,37203,2574,983.69,943.13,2026-06-07
NWF26060300226,2026-06-03,2026-06-04,60607,46204,2267,662.71,537.8,2026-06-06
NWF26060300227,2026-06-03,2026-06-08,97209,80202,2969,1666.0,1320.94,2026-06-10
NWF26060300228,2026-06-03,2026-06-08,84101,55401,1460,766.43,630.3,2026-06-10
NWF26060300229,2026-06-03,2026-06-08,90021,97209,3940,2044.54,1448.14,2026-06-09
NWF26060300230,2026-06-03,2026-06-04,64105,30303,1573,774.51,669.21,2026-06-05
NWF26060400231,2026-06-04,2026-06-10,55401,84101,1925,1061.33,954.42,2026-06-11
NWF26060400232,2026-06-04,2026-06-10,90021,46204,1018,819.98,594.03,2026-06-12
NWF26060400233,2026-06-04,2026-06-08,55401,46204,1683,597.12,658.9,2026-06-10
NWF26060400234,2026-06-04,2026-06-15,90021,19104,1576,1697.32,1254.11,2026-06-15
NWF26060400235,2026-06-04,2026-06-08,64105,46204,1199,452.03,326.16,2026-06-10
NWF26060400236,2026-06-04,2026-06-05,60607,46204,1642,424.23,333.15,2026-06-07
NWF26060400237,2026-06-04,2026-06-05,30303,48226,3402,1285.56,1196.33,2026-06-05
NWF26060400238,2026-06-04,2026-06-12,19104,90021,2228,2296.52,1721.79,2026-06-13
NWF26060400239,2026-06-04,2026-06-08,84101,55401,2485,1369.42,1259.92,2026-06-08
NWF26060400240,2026-06-04,2026-06-05,60607,46204,1704,482.59,466.59,2026-06-15
NWF26060400241,2026-06-04,2026-06-10,55401,84101,1844,1049.13,808.62,2026-06-11
NWF26060400242,2026-06-04,2026-06-08,46204,19104,1062,543.64,485.84,2026-06-10
NWF26060400243,2026-06-04,2026-06-12,90021,19104,1610,1628.87,1490.92,2026-06-12
NWF26060400244,2026-06-04,2026-06-12,19104,97209,2100,2531.31,2456.38,2026-06-12
NWF26060400245,2026-06-04,2026-06-11,30303,85004,1443,1064.05,916.22,2026-06-12
NWF26060400246,2026-06-04,2026-06-09,90021,97209,1785,850.99,601.55,2026-06-09
NWF26060400247,2026-06-04,2026-06-09,75201,37203,871,409.23,341.8,2026-06-18
NWF26060400248,2026-06-04,2026-06-05,37203,46204,981,259.21,189.8,2026-06-07
NWF26060400249,2026-06-04,2026-06-10,55401,84101,1470,841.25,689.31,2026-06-12
NWF26060400250,2026-06-04,2026-06-05,46204,55401,1965,693.12,604.37,2026-06-06
NWF26060400251,2026-06-04,2026-06-08,30303,48226,1994,802.66,743.62,2026-06-10
NWF26060400252,2026-06-04,2026-06-08,46204,55401,901,334.17,314.64,2026-06-10
NWF26060400253,2026-06-04,2026-06-08,30303,48226,1185,440.65,364.95,2026-06-10
NWF26060400254,2026-06-04,2026-06-05,60607,46204,1974,524.57,384.38,2026-06-07
NWF26060400255,2026-06-04,2026-06-08,30303,48226,1911,721.02,602.97,2026-06-10
NWF26060400256,2026-06-04,2026-06-09,75201,85004,980,584.03,510.11,2026-06-10
NWF26060400257,2026-06-04,2026-06-15,98108,19104,1420,1788.74,1460.28,2026-06-15
NWF26060400258,2026-06-04,2026-06-10,48226,80202,944,590.63,441.26,2026-06-12
NWF26060400259,2026-06-04,2026-06-08,55401,46204,1604,543.11,530.86,2026-06-10
NWF26060400260,2026-06-04,2026-06-05,46204,38103,714,283.0,249.9,2026-06-06
NWF26060400261,2026-06-04,2026-06-09,30303,85004,2406,1829.01,1633.23,2026-06-11
NWF26060400262,2026-06-04,2026-06-05,46204,38103,2936,1180.96,1093.01,2026-06-06
NWF26060400263,2026-06-04,2026-06-05,60607,46204,719,219.85,185.56,2026-06-05
NWF26060400264,2026-06-04,2026-06-09,37203,75201,425,179.27,163.71,2026-06-09
NWF26060400265,2026-06-04,2026-06-05,60607,46204,814,226.05,198.34,2026-06-15
NWF26060400266,2026-06-04,2026-06-08,55401,46204,5720,2008.89,1664.1,2026-06-08
NWF26060400267,2026-06-04,2026-06-09,55401,84101,3383,1932.76,1506.41,2026-06-11
NWF26060400268,2026-06-04,2026-06-09,60607,64105,4042,1273.46,1222.82,2026-06-09
NWF26060400269,2026-06-04,2026-06-08,75201,80202,160,125.0,90.77,2026-06-09
NWF26060400270,2026-06-04,2026-06-10,84101,75201,1736,1156.92,1045.02,2026-06-12
NWF26060400271,2026-06-04,2026-06-10,80202,60607,690,328.64,284.68,2026-06-10
NWF26060400272,2026-06-04,2026-06-08,80202,64105,1096,440.85,394.27,2026-06-09
NWF26060400273,2026-06-04,2026-06-09,80202,60607,2236,1132.36,887.53,2026-06-11
NWF26060400274,2026-06-04,2026-06-08,75201,80202,492,225.28,198.7,2026-06-10
NWF26060400275,2026-06-04,2026-06-09,84101,55401,6280,3578.08,2722.31,2026-06-09
NWF26060400276,2026-06-04,2026-06-05,60607,46204,1041,278.88,201.79,2026-06-07
NWF26060400277,2026-06-04,2026-06-05,60607,46204,4823,1446.46,1279.19,2026-06-07
NWF26060400278,2026-06-04,2026-06-09,55401,46204,2268,693.54,659.84,2026-06-10
NWF26060400279,2026-06-04,2026-06-09,84101,64105,1398,719.12,700.25,2026-06-19
NWF26060400280,2026-06-04,2026-06-08,30303,48226,3126,1208.99,904.78,2026-06-08
NWF26060400281,2026-06-04,2026-06-08,60607,46204,1150,336.17,307.53,2026-06-08
NWF26060400282,2026-06-04,2026-06-05,60607,46204,1488,382.49,276.2,2026-06-07
NWF26060400283,2026-06-04,2026-06-15,19104,90021,2310,2462.74,2167.41,2026-06-17
NWF26060500284,2026-06-05,2026-06-11,30303,85004,1648,1235.68,1092.65,2026-06-13
NWF26060500285,2026-06-05,2026-06-15,98108,19104,905,1170.31,904.17,2026-06-17
NWF26060500286,2026-06-05,2026-06-15,90021,19104,2497,2514.64,2261.79,2026-06-16
NWF26060500287,2026-06-05,2026-06-10,55401,75201,953,502.77,403.7,2026-06-12
NWF26060500288,2026-06-05,2026-06-11,84101,75201,134,125.0,150.1,2026-06-11
NWF26060500289,2026-06-05,2026-06-12,19104,90021,928,916.63,661.63,2026-06-14
NWF26060500290,2026-06-05,2026-06-12,90021,19104,463,488.59,457.59,2026-06-13
NWF26060500291,2026-06-05,2026-06-08,80202,64105,545,196.46,171.78,2026-06-09
NWF26060500292,2026-06-05,2026-06-10,75201,80202,5764,2954.21,2726.36,2026-06-10
NWF26060500293,2026-06-05,2026-06-10,97209,80202,376,210.23,244.78,2026-06-10
NWF26060500294,2026-06-05,2026-06-09,64105,30303,4389,2518.68,2448.95,2026-06-09
NWF26060500295,2026-06-05,2026-06-08,30303,19104,446,184.57,167.85,2026-06-08
NWF26060500296,2026-06-05,2026-06-08,60607,46204,981,250.99,222.25,2026-06-09
NWF26060500297,2026-06-05,2026-06-09,60607,64105,3668,1364.32,1079.66,2026-06-09
NWF26060500298,2026-06-05,2026-06-12,48226,84101,1265,1069.91,856.27,2026-06-13
NWF26060500299,2026-06-05,2026-06-10,55401,75201,2568,1391.63,1209.23,2026-06-10
